uniqueid,assignmentid,workerid,hitid,ipaddress,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,mode,datastring
debug54S3Z1:debug80A2MY,debug80A2MY,debug54S3Z1,debugBJUFGP,127.0.0.1,chrome,macos,UNKNOWN,9,0,1.0,2018-02-01 16:57:44.044591,,2018-02-01 16:58:07.098555,0.0,3,debug,"{""condition"":9,""counterbalance"":0,""assignmentId"":""debug80A2MY"",""workerId"":""debug54S3Z1"",""hitId"":""debugBJUFGP"",""currenttrial"":0,""bonus"":0,""data"":[],""questiondata"":{},""eventdata"":[{""eventtype"":""initialized"",""value"":null,""timestamp"":1517522265621,""interval"":0},{""eventtype"":""window_resize"",""value"":[1024,768],""timestamp"":1517522265621,""interval"":0},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517522265789,""interval"":168}],""useragent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"",""mode"":""debug""}"
debugG08SLO:debugMSUSJS,debugMSUSJS,debugG08SLO,debugN0WMNH,127.0.0.1,chrome,macos,UNKNOWN,4,0,1.0,2018-02-01 20:50:34.333557,,,0.0,1,debug,
debugDOO7UG:debugPKIFSK,debugPKIFSK,debugDOO7UG,debugZBQQC6,127.0.0.1,chrome,macos,UNKNOWN,2,0,1.0,2018-02-02 10:34:39.401975,,2018-02-02 10:34:52.112639,0.0,3,debug,"{""condition"":2,""counterbalance"":0,""assignmentId"":""debugPKIFSK"",""workerId"":""debugDOO7UG"",""hitId"":""debugZBQQC6"",""currenttrial"":0,""bonus"":0,""data"":[],""questiondata"":{},""eventdata"":[{""eventtype"":""initialized"",""value"":null,""timestamp"":1517585681277,""interval"":0},{""eventtype"":""window_resize"",""value"":[1024,768],""timestamp"":1517585681277,""interval"":0},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517585681435,""interval"":158}],""useragent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"",""mode"":""debug""}"
debug8W6J6E:debugTU6WAP,debugTU6WAP,debug8W6J6E,debug8CVN1S,127.0.0.1,chrome,macos,UNKNOWN,1,0,1.0,2018-02-02 10:35:05.203569,,,0.0,1,debug,
debugCBWHRN:debugZNUTMN,debugZNUTMN,debugCBWHRN,debug5UCXLG,127.0.0.1,chrome,macos,UNKNOWN,5,0,1.0,2018-02-02 10:35:13.960670,,,0.0,1,debug,
debugL8QZJZ:debugLW8QAB,debugLW8QAB,debugL8QZJZ,debug5P8NPH,127.0.0.1,chrome,macos,UNKNOWN,87,0,1.0,2018-02-05 13:32:29.115255,,,0.0,1,debug,
debugUP23V8:debugPC24YS,debugPC24YS,debugUP23V8,debugUSK18T,127.0.0.1,chrome,macos,UNKNOWN,7,0,1.0,2018-02-05 13:34:46.695060,,,0.0,1,debug,
debug4FYL1J:debugWYO6LG,debugWYO6LG,debug4FYL1J,debugO297V9,127.0.0.1,chrome,macos,UNKNOWN,80,0,1.0,2018-02-06 15:17:38.480809,,,0.0,1,debug,
debugGZTUOA:debugVE0ZFE,debugVE0ZFE,debugGZTUOA,debugD9E1KN,127.0.0.1,chrome,macos,UNKNOWN,33,0,1.0,2018-02-06 15:20:20.129074,,,0.0,1,debug,
debug1P89PQ:debugNQBKB0,debugNQBKB0,debug1P89PQ,debugC0A88A,127.0.0.1,chrome,macos,UNKNOWN,30,0,1.0,2018-02-06 15:21:20.431500,,,0.0,1,debug,
debug0VF1D3:debug9MKWW2,debug9MKWW2,debug0VF1D3,debug3B7HU0,127.0.0.1,chrome,macos,UNKNOWN,15,0,1.0,2018-02-06 15:21:44.933625,,,0.0,1,debug,
debugHOGW5M:debugW7KVDI,debugW7KVDI,debugHOGW5M,debugP6NFKG,127.0.0.1,chrome,macos,UNKNOWN,4,0,1.0,2018-02-06 15:22:26.664550,,,0.0,1,debug,
A3LECJA9RVQQKZ:3YW4XOSQKRH7J6NFELRPTLCCN6Z1U8,3YW4XOSQKRH7J6NFELRPTLCCN6Z1U8,A3LECJA9RVQQKZ,3N2YPY1GI6U3U29Y5XR787158GIVEE,70.139.233.1,chrome,windows,UNKNOWN,25,0,1.0,2018-02-06 15:53:48.981502,,2018-02-06 16:22:15.275777,0.0,5,live,"{""condition"":25,""counterbalance"":0,""assignmentId"":""3YW4XOSQKRH7J6NFELRPTLCCN6Z1U8"",""workerId"":""A3LECJA9RVQQKZ"",""hitId"":""3N2YPY1GI6U3U29Y5XR787158GIVEE"",""currenttrial"":0,""bonus"":0,""data"":[],""questiondata"":{},""eventdata"":[{""eventtype"":""initialized"",""value"":null,""timestamp"":1517950428531,""interval"":0},{""eventtype"":""window_resize"",""value"":[1536,774],""timestamp"":1517950428531,""interval"":0}],""useragent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"",""mode"":""live""}"
A2NZ7RMSBXESNI:3TMSXRD2X7WKBACK9L6QB9X98MA1W7,3TMSXRD2X7WKBACK9L6QB9X98MA1W7,A2NZ7RMSBXESNI,3N2YPY1GI6U3U29Y5XR787158GIVEE,75.142.42.79,chrome,windows,UNKNOWN,18,0,1.0,2018-02-06 16:22:30.850714,,2018-02-06 16:53:46.833112,0.0,5,live,"{""condition"":18,""counterbalance"":0,""assignmentId"":""3TMSXRD2X7WKBACK9L6QB9X98MA1W7"",""workerId"":""A2NZ7RMSBXESNI"",""hitId"":""3N2YPY1GI6U3U29Y5XR787158GIVEE"",""currenttrial"":0,""bonus"":0,""data"":[],""questiondata"":{},""eventdata"":[{""eventtype"":""initialized"",""value"":null,""timestamp"":1517952152828,""interval"":0},{""eventtype"":""window_resize"",""value"":[1024,768],""timestamp"":1517952152828,""interval"":0},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517952231462,""interval"":78634},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517952231565,""interval"":103},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517953450936,""interval"":1219371},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517953502578,""interval"":51642},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517953515936,""interval"":13358},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517953516663,""interval"":727},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517953858256,""interval"":341593},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517953870039,""interval"":11783},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517953916117,""interval"":46078},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517953923149,""interval"":7032}],""useragent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.119 Safari/537.36"",""mode"":""live""}"
AA4KKLIU4C3NY:33LKR6A5KFGSJT8QEG1FOPQA4SS1TH,33LKR6A5KFGSJT8QEG1FOPQA4SS1TH,AA4KKLIU4C3NY,3N2YPY1GI6U3U29Y5XR787158GIVEE,162.198.201.8,chrome,windows,UNKNOWN,20,0,1.0,2018-02-06 17:12:07.803814,,2018-02-06 17:41:42.589110,0.0,5,live,"{""condition"":20,""counterbalance"":0,""assignmentId"":""33LKR6A5KFGSJT8QEG1FOPQA4SS1TH"",""workerId"":""AA4KKLIU4C3NY"",""hitId"":""3N2YPY1GI6U3U29Y5XR787158GIVEE"",""currenttrial"":0,""bonus"":0,""data"":[],""questiondata"":{},""eventdata"":[{""eventtype"":""initialized"",""value"":null,""timestamp"":1517955130184,""interval"":0},{""eventtype"":""window_resize"",""value"":[898,651],""timestamp"":1517955130184,""interval"":0},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517955407817,""interval"":277633},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517955421136,""interval"":13319},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517955494134,""interval"":72998},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517955512059,""interval"":17925},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517955525952,""interval"":13893},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517955556337,""interval"":30385},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517955696487,""interval"":140150},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517955703229,""interval"":6742},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517955763580,""interval"":60351},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517955778468,""interval"":14888},{""eventtype"":""window_resize"",""value"":[898,593],""timestamp"":1517956036237,""interval"":257769},{""eventtype"":""window_resize"",""value"":[898,591],""timestamp"":1517956036914,""interval"":677},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517956037545,""interval"":631},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517956380587,""interval"":343042}],""useragent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36"",""mode"":""live""}"
A230VUDYOCRZ4N:3WR9XG3T647MDU82OVHGHR5VRFB47L,3WR9XG3T647MDU82OVHGHR5VRFB47L,A230VUDYOCRZ4N,3N2YPY1GI6U3U29Y5XR787158GIVEE,73.171.228.107,chrome,windows,UNKNOWN,8,0,1.0,2018-02-06 19:03:08.736516,,2018-02-06 19:45:04.887220,0.0,5,live,"{""condition"":8,""counterbalance"":0,""assignmentId"":""3WR9XG3T647MDU82OVHGHR5VRFB47L"",""workerId"":""A230VUDYOCRZ4N"",""hitId"":""3N2YPY1GI6U3U29Y5XR787158GIVEE"",""currenttrial"":0,""bonus"":0,""data"":[],""questiondata"":{},""eventdata"":[{""eventtype"":""initialized"",""value"":null,""timestamp"":1517961795770,""interval"":0},{""eventtype"":""window_resize"",""value"":[1446,905],""timestamp"":1517961795770,""interval"":0},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517963015034,""interval"":1219264},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517963029712,""interval"":14678},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517963034721,""interval"":5009},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517963036860,""interval"":2139},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517963042310,""interval"":5450},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517963046654,""interval"":4344},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517963057413,""interval"":10759},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517963060549,""interval"":3136},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517963065026,""interval"":4477},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517963066775,""interval"":1749},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517963567552,""interval"":500777},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517963604135,""interval"":36583},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517963656289,""interval"":52154},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517963706695,""interval"":50406},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517963709210,""interval"":2515},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517963714292,""interval"":5082},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517963723955,""interval"":9663},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517963727309,""interval"":3354},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517963828609,""interval"":101300},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517963834840,""interval"":6231},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517964003689,""interval"":168849},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517964009685,""interval"":5996},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517964025453,""interval"":15768},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517964029988,""interval"":4535},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517964034745,""interval"":4757},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517964037902,""interval"":3157},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517964042037,""interval"":4135},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517964045540,""interval"":3503},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517964060579,""interval"":15039},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517964064102,""interval"":3523},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517964075791,""interval"":11689},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517964079056,""interval"":3265},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517964093530,""interval"":14474},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517964097499,""interval"":3969},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517964107801,""interval"":10302},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517964117171,""interval"":9370},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1517964136389,""interval"":19218},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1517964142317,""interval"":5928}],""useragent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"",""mode"":""live""}"
A4J4GGMKJ68L0:3EJPLAJKENCJCRIMQE2E59I8XZTZ6S,3EJPLAJKENCJCRIMQE2E59I8XZTZ6S,A4J4GGMKJ68L0,3N2YPY1GI6U3U29Y5XR787158GIVEE,207.246.122.225,chrome,windows,UNKNOWN,22,0,1.0,2018-02-06 23:36:46.910873,,,0.0,1,live,
A3GPTSDDHJ2DBV:3Y54SXRO1MH8SQZOG4BZZRV7FPPTU8,3Y54SXRO1MH8SQZOG4BZZRV7FPPTU8,A3GPTSDDHJ2DBV,3N2YPY1GI6U3U29Y5XR787158GIVEE,96.246.98.25,chrome,macos,UNKNOWN,11,0,1.0,2018-02-07 00:12:58.697291,,,0.0,1,live,
A3LJ2FHESYV9QQ:3LRLIPTPER5PAYV3GQGGYZWHP96KAH,3LRLIPTPER5PAYV3GQGGYZWHP96KAH,A3LJ2FHESYV9QQ,3N2YPY1GI6U3U29Y5XR787158GIVEE,45.36.246.225,chrome,windows,UNKNOWN,22,0,1.0,2018-02-07 10:31:58.725809,,2018-02-07 10:56:05.570238,0.0,5,live,"{""condition"":22,""counterbalance"":0,""assignmentId"":""3LRLIPTPER5PAYV3GQGGYZWHP96KAH"",""workerId"":""A3LJ2FHESYV9QQ"",""hitId"":""3N2YPY1GI6U3U29Y5XR787158GIVEE"",""currenttrial"":0,""bonus"":0,""data"":[],""questiondata"":{},""eventdata"":[{""eventtype"":""initialized"",""value"":null,""timestamp"":1518017522467,""interval"":0},{""eventtype"":""window_resize"",""value"":[1920,989],""timestamp"":1518017522467,""interval"":0}],""useragent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"",""mode"":""live""}"
A3JP7DIFRS0ZBY:3Y54SXRO1MH8SQZOG4BZZRV7FPPTU8,3Y54SXRO1MH8SQZOG4BZZRV7FPPTU8,A3JP7DIFRS0ZBY,3N2YPY1GI6U3U29Y5XR787158GIVEE,207.225.107.147,chrome,windows,UNKNOWN,35,0,1.0,2018-02-07 12:42:42.492111,,2018-02-07 13:02:38.718223,0.0,5,live,"{""condition"":35,""counterbalance"":0,""assignmentId"":""3Y54SXRO1MH8SQZOG4BZZRV7FPPTU8"",""workerId"":""A3JP7DIFRS0ZBY"",""hitId"":""3N2YPY1GI6U3U29Y5XR787158GIVEE"",""currenttrial"":0,""bonus"":0,""data"":[],""questiondata"":{},""eventdata"":[{""eventtype"":""initialized"",""value"":null,""timestamp"":1518025339322,""interval"":0},{""eventtype"":""window_resize"",""value"":[1366,677],""timestamp"":1518025339322,""interval"":0},{""eventtype"":""focus"",""value"":""off"",""timestamp"":1518026530219,""interval"":1190897},{""eventtype"":""focus"",""value"":""on"",""timestamp"":1518026531967,""interval"":1748}],""useragent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"",""mode"":""live""}"
