trial_index,trial_type,response,story_pass,s_or_q,state,qtype,edge,altedge,slider_true_right,objective_pr,edge_count,altedge_count,ex_pr_edge,ex_pr_altedge,resp_objective,resp_ex_pr_edge,resp_ex_pr_altedge
0,instructions,,0,s,BEGIN,,,,,,0.0,0.0,0.0,0.0,,,
1,html-slider-response,0.0,0,q,,Default,BEGINWalktoback,BEGINWalktofront,True,60.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0
2,instructions,,0,s,Walktoback,,,,,,1.0,1.0,50.0,50.0,,,
3,instructions,,0,s,Stepinfront,,,,,,2.0,2.0,50.0,50.0,,,
4,html-slider-response,0.0,0,q,,Alter,StepinfrontIgnore,StepinfrontIgnore,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
5,instructions,,0,s,Ignore,,,,,,3.0,3.0,50.0,50.0,,,
6,html-slider-response,0.0,0,q,,Default,IgnoreXstare,IgnoreTurntobarista,False,66.0,0.0,0.0,0.0,0.0,34.0,100.0,100.0
7,instructions,,0,s,Xstare,,,,,,4.0,4.0,50.0,50.0,,,
8,html-slider-response,100.0,0,q,,Default,XstareDessertcrumble,XstareCreamsplash,False,50.0,0.0,0.0,0.0,0.0,50.0,100.0,100.0
9,instructions,,0,s,Dessertcrumble,,,,,,5.0,5.0,50.0,50.0,,,
10,html-slider-response,0.0,0,q,,Alter,DessertcrumbleCallpoliceman,DessertcrumbleCallpoliceman,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
11,instructions,,0,s,Callpoliceman,,,,,,6.0,6.0,50.0,50.0,,,
12,html-slider-response,0.0,0,q,,Permute,CallpolicemanHatecoffee,CallpolicemanHatecoffee,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
13,instructions,,0,s,Hatecoffee,,,,,,7.0,7.0,50.0,50.0,,,
14,html-slider-response,100.0,0,q,,Alter,HatecoffeeEND,HatecoffeeEND,True,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
15,instructions,,0,s,END,,,,,,8.0,8.0,50.0,50.0,,,
16,instructions,,1,s,BEGIN,,,,,,9.0,9.0,50.0,50.0,,,
17,html-slider-response,100.0,1,q,,Default,BEGINWalktofront,BEGINWalktoback,True,40.0,0.0,1.0,0.0,100.0,40.0,0.0,100.0
18,instructions,,1,s,Walktofront,,,,,,10.0,10.0,50.0,50.0,,,
19,html-slider-response,0.0,1,q,,Default,WalktofrontStepinfront,WalktofrontSayexcuseme,False,50.0,0.0,0.0,0.0,0.0,50.0,100.0,100.0
20,instructions,,1,s,Stepinfront,,,,,,11.0,11.0,50.0,50.0,,,
21,html-slider-response,0.0,1,q,,Default,StepinfrontIgnore,StepinfrontSubjectstares,True,44.0,1.0,0.0,100.0,0.0,44.0,100.0,0.0
22,instructions,,1,s,Ignore,,,,,,12.0,12.0,50.0,50.0,,,
23,html-slider-response,0.0,1,q,,Permute,IgnoreXstare,IgnoreXstare,False,100.0,1.0,1.0,50.0,50.0,0.0,50.0,50.0
24,instructions,,1,s,Xstare,,,,,,13.0,13.0,50.0,50.0,,,
25,html-slider-response,0.0,1,q,,Permute,XstareDessertcrumble,XstareDessertcrumble,False,100.0,1.0,1.0,50.0,50.0,0.0,50.0,50.0
26,instructions,,1,s,Dessertcrumble,,,,,,14.0,14.0,50.0,50.0,,,
27,html-slider-response,0.0,1,q,,Default,DessertcrumbleCallpoliceman,DessertcrumbleBaristaorders,False,10.0,1.0,0.0,100.0,0.0,90.0,0.0,100.0
28,instructions,,1,s,Callpoliceman,,,,,,15.0,15.0,50.0,50.0,,,
29,html-slider-response,0.0,1,q,,Default,CallpolicemanHatecoffee,CallpolicemanLovejuice,True,70.0,1.0,0.0,100.0,0.0,70.0,100.0,0.0
30,instructions,,1,s,Hatecoffee,,,,,,16.0,16.0,50.0,50.0,,,
31,html-slider-response,100.0,1,q,,Alter,HatecoffeeEND,HatecoffeeEND,True,100.0,1.0,1.0,50.0,50.0,100.0,50.0,50.0
32,instructions,,1,s,END,,,,,,17.0,17.0,50.0,50.0,,,
33,instructions,,2,s,BEGIN,,,,,,18.0,18.0,50.0,50.0,,,
34,html-slider-response,0.0,2,q,,Default,BEGINWalktoback,BEGINWalktofront,False,60.0,1.0,1.0,50.0,50.0,40.0,50.0,50.0
35,instructions,,2,s,Walktoback,,,,,,19.0,19.0,50.0,50.0,,,
36,html-slider-response,0.0,2,q,,Permute,WalktobackStepinfront,WalktobackStepinfront,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
37,instructions,,2,s,Stepinfront,,,,,,20.0,20.0,50.0,50.0,,,
38,html-slider-response,100.0,2,q,,Permute,StepinfrontSubjectstares,StepinfrontSubjectstares,True,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
39,instructions,,2,s,Subjectstares,,,,,,21.0,21.0,50.0,50.0,,,
40,html-slider-response,100.0,2,q,,Default,SubjectstaresTurntobarista,SubjectstaresXshove,False,66.0,0.0,0.0,0.0,0.0,34.0,100.0,100.0
41,instructions,,2,s,Turntobarista,,,,,,22.0,22.0,50.0,50.0,,,
42,html-slider-response,100.0,2,q,,Permute,TurntobaristaDessertcrumble,TurntobaristaDessertcrumble,True,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
43,instructions,,2,s,Dessertcrumble,,,,,,23.0,23.0,50.0,50.0,,,
44,html-slider-response,100.0,2,q,,Alter,DessertcrumbleBaristaorders,DessertcrumbleBaristaorders,True,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
45,instructions,,2,s,Baristaorders,,,,,,24.0,24.0,50.0,50.0,,,
46,html-slider-response,0.0,2,q,,Default,BaristaordersHatecoffee,BaristaordersLovejuice,False,30.0,0.0,0.0,0.0,0.0,70.0,100.0,100.0
47,instructions,,2,s,Hatecoffee,,,,,,25.0,25.0,50.0,50.0,,,
48,html-slider-response,100.0,2,q,,Alter,HatecoffeeEND,HatecoffeeEND,True,100.0,2.0,2.0,50.0,50.0,100.0,50.0,50.0
49,instructions,,2,s,END,,,,,,26.0,26.0,50.0,50.0,,,
50,instructions,,3,s,BEGIN,,,,,,27.0,27.0,50.0,50.0,,,
51,html-slider-response,100.0,3,q,,Default,BEGINWalktoback,BEGINWalktofront,False,60.0,2.0,1.0,66.66666666666666,33.33333333333333,40.0,33.33333333333334,66.66666666666667
52,instructions,,3,s,Walktoback,,,,,,28.0,28.0,50.0,50.0,,,
53,html-slider-response,100.0,3,q,,Permute,WalktobackStepinfront,WalktobackStepinfront,True,100.0,1.0,1.0,50.0,50.0,100.0,50.0,50.0
54,instructions,,3,s,Stepinfront,,,,,,29.0,29.0,50.0,50.0,,,
55,html-slider-response,100.0,3,q,,Default,StepinfrontShove,StepinfrontSubjectstares,True,16.0,0.0,1.0,0.0,100.0,16.0,0.0,100.0
56,instructions,,3,s,Shove,,,,,,30.0,30.0,50.0,50.0,,,
57,html-slider-response,0.0,3,q,,Permute,ShoveXshove,ShoveXshove,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
58,instructions,,3,s,Xshove,,,,,,31.0,31.0,50.0,50.0,,,
59,html-slider-response,100.0,3,q,,Permute,XshoveDessertcrumble,XshoveDessertcrumble,True,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
60,instructions,,3,s,Dessertcrumble,,,,,,32.0,32.0,50.0,50.0,,,
61,html-slider-response,100.0,3,q,,Alter,DessertcrumbleBaristaorders,DessertcrumbleBaristaorders,True,100.0,1.0,1.0,50.0,50.0,100.0,50.0,50.0
62,instructions,,3,s,Baristaorders,,,,,,33.0,33.0,50.0,50.0,,,
63,html-slider-response,100.0,3,q,,Permute,BaristaordersLovejuice,BaristaordersLovejuice,True,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
64,instructions,,3,s,Lovejuice,,,,,,34.0,34.0,50.0,50.0,,,
65,html-slider-response,100.0,3,q,,Alter,LovejuiceEND,LovejuiceEND,True,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
66,instructions,,3,s,END,,,,,,35.0,35.0,50.0,50.0,,,
67,instructions,,4,s,BEGIN,,,,,,36.0,36.0,50.0,50.0,,,
68,html-slider-response,100.0,4,q,,Default,BEGINWalktoback,BEGINWalktofront,True,60.0,3.0,1.0,75.0,25.0,60.0,75.0,25.0
69,instructions,,4,s,Walktoback,,,,,,37.0,37.0,50.0,50.0,,,
70,html-slider-response,100.0,4,q,,Alter,WalktobackSayexcuseme,WalktobackSayexcuseme,True,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
71,instructions,,4,s,Sayexcuseme,,,,,,38.0,38.0,50.0,50.0,,,
72,html-slider-response,100.0,4,q,,Default,SayexcusemeShove,SayexcusemeSubjectstares,False,44.0,0.0,0.0,0.0,0.0,56.0,100.0,100.0
73,instructions,,4,s,Shove,,,,,,39.0,39.0,50.0,50.0,,,
74,html-slider-response,0.0,4,q,,Default,ShoveXshove,ShoveXstare,False,66.0,1.0,0.0,100.0,0.0,34.0,0.0,100.0
75,instructions,,4,s,Xshove,,,,,,40.0,40.0,50.0,50.0,,,
76,html-slider-response,100.0,4,q,,Default,XshoveDessertcrumble,XshoveCreamsplash,True,35.0,1.0,0.0,100.0,0.0,35.0,100.0,0.0
77,instructions,,4,s,Dessertcrumble,,,,,,41.0,41.0,50.0,50.0,,,
78,html-slider-response,0.0,4,q,,Alter,DessertcrumbleBaristaorders,DessertcrumbleBaristaorders,False,100.0,2.0,2.0,50.0,50.0,0.0,50.0,50.0
79,instructions,,4,s,Baristaorders,,,,,,42.0,42.0,50.0,50.0,,,
80,html-slider-response,100.0,4,q,,Permute,BaristaordersLovejuice,BaristaordersLovejuice,True,100.0,1.0,1.0,50.0,50.0,100.0,50.0,50.0
81,instructions,,4,s,Lovejuice,,,,,,43.0,43.0,50.0,50.0,,,
82,html-slider-response,100.0,4,q,,Alter,LovejuiceEND,LovejuiceEND,True,100.0,1.0,1.0,50.0,50.0,100.0,50.0,50.0
83,instructions,,4,s,END,,,,,,44.0,44.0,50.0,50.0,,,
84,instructions,,5,s,BEGIN,,,,,,45.0,45.0,50.0,50.0,,,
85,instructions,,5,s,Walktofront,,,,,,46.0,46.0,50.0,50.0,,,
86,html-slider-response,100.0,5,q,,Alter,WalktofrontSayexcuseme,WalktofrontSayexcuseme,True,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
87,instructions,,5,s,Sayexcuseme,,,,,,47.0,47.0,50.0,50.0,,,
88,html-slider-response,100.0,5,q,,Default,SayexcusemeSubjectstares,SayexcusemeShove,False,55.0,0.0,1.0,0.0,100.0,45.0,100.0,0.0
89,instructions,,5,s,Subjectstares,,,,,,48.0,48.0,50.0,50.0,,,
90,html-slider-response,100.0,5,q,,Alter,SubjectstaresTurntobarista,SubjectstaresTurntobarista,True,100.0,1.0,1.0,50.0,50.0,100.0,50.0,50.0
91,instructions,,5,s,Turntobarista,,,,,,49.0,49.0,50.0,50.0,,,
92,html-slider-response,100.0,5,q,,Default,TurntobaristaDessertcrumble,TurntobaristaCreamsplash,True,50.0,1.0,0.0,100.0,0.0,50.0,100.0,0.0
93,instructions,,5,s,Dessertcrumble,,,,,,50.0,50.0,50.0,50.0,,,
94,html-slider-response,0.0,5,q,,Alter,DessertcrumbleCallpoliceman,DessertcrumbleCallpoliceman,False,100.0,2.0,2.0,50.0,50.0,0.0,50.0,50.0
95,instructions,,5,s,Callpoliceman,,,,,,51.0,51.0,50.0,50.0,,,
96,html-slider-response,0.0,5,q,,Permute,CallpolicemanHatecoffee,CallpolicemanHatecoffee,False,100.0,2.0,2.0,50.0,50.0,0.0,50.0,50.0
97,instructions,,5,s,Hatecoffee,,,,,,52.0,52.0,50.0,50.0,,,
98,instructions,,5,s,END,,,,,,53.0,53.0,50.0,50.0,,,
99,instructions,,6,s,BEGIN,,,,,,54.0,54.0,50.0,50.0,,,
100,html-slider-response,0.0,6,q,,Default,BEGINWalktofront,BEGINWalktoback,False,40.0,1.0,4.0,20.0,80.0,60.0,80.0,20.0
101,instructions,,6,s,Walktofront,,,,,,55.0,55.0,50.0,50.0,,,
102,html-slider-response,100.0,6,q,,Alter,WalktofrontSayexcuseme,WalktofrontSayexcuseme,True,100.0,1.0,1.0,50.0,50.0,100.0,50.0,50.0
103,instructions,,6,s,Sayexcuseme,,,,,,56.0,56.0,50.0,50.0,,,
104,html-slider-response,0.0,6,q,,Default,SayexcusemeShove,SayexcusemeSubjectstares,True,44.0,1.0,1.0,50.0,50.0,44.0,50.0,50.0
105,instructions,,6,s,Shove,,,,,,57.0,57.0,50.0,50.0,,,
106,html-slider-response,100.0,6,q,,Permute,ShoveXstare,ShoveXstare,True,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
107,instructions,,6,s,Xstare,,,,,,58.0,58.0,50.0,50.0,,,
108,html-slider-response,100.0,6,q,,Permute,XstareDessertcrumble,XstareDessertcrumble,True,100.0,2.0,2.0,50.0,50.0,100.0,50.0,50.0
109,instructions,,6,s,Dessertcrumble,,,,,,59.0,59.0,50.0,50.0,,,
110,instructions,,6,s,Baristaorders,,,,,,60.0,60.0,50.0,50.0,,,
111,html-slider-response,0.0,6,q,,Default,BaristaordersLovejuice,BaristaordersHatecoffee,False,70.0,2.0,1.0,66.66666666666666,33.33333333333333,30.0,33.33333333333334,66.66666666666667
112,instructions,,6,s,Lovejuice,,,,,,61.0,61.0,50.0,50.0,,,
113,html-slider-response,0.0,6,q,,Alter,LovejuiceEND,LovejuiceEND,False,100.0,2.0,2.0,50.0,50.0,0.0,50.0,50.0
114,instructions,,6,s,END,,,,,,62.0,62.0,50.0,50.0,,,
115,instructions,,7,s,BEGIN,,,,,,63.0,63.0,50.0,50.0,,,
116,html-slider-response,100.0,7,q,,Default,BEGINWalktofront,BEGINWalktoback,True,40.0,2.0,4.0,33.33333333333333,66.66666666666666,40.0,33.33333333333333,66.66666666666666
117,instructions,,7,s,Walktofront,,,,,,64.0,64.0,50.0,50.0,,,
118,html-slider-response,100.0,7,q,,Default,WalktofrontStepinfront,WalktofrontSayexcuseme,True,50.0,1.0,2.0,33.33333333333333,66.66666666666666,50.0,33.33333333333333,66.66666666666666
119,instructions,,7,s,Stepinfront,,,,,,65.0,65.0,50.0,50.0,,,
120,html-slider-response,100.0,7,q,,Permute,StepinfrontSubjectstares,StepinfrontSubjectstares,True,100.0,1.0,1.0,50.0,50.0,100.0,50.0,50.0
121,instructions,,7,s,Subjectstares,,,,,,66.0,66.0,50.0,50.0,,,
122,html-slider-response,0.0,7,q,,Default,SubjectstaresTurntobarista,SubjectstaresXstare,False,85.0,2.0,0.0,100.0,0.0,15.0,0.0,100.0
123,instructions,,7,s,Turntobarista,,,,,,67.0,67.0,50.0,50.0,,,
